ID;Nome;SKU;Categoria;Preço;"Preço Promocional";Custo;"Quantidade Estoque";"Estoque Mínimo";Unidade;"Descrição Curta";Tags;Ativo;Destaque;"Data Criação"
37;"Estrado de Plástico 50×50 – Lar Plástico";2-037;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:23"
38;"Estrado de Plástico com Prolongador 40×40 – Lar Plástico";2-038;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:23"
39;"Estrado de Plastico com Prolongador 41x82cm – Lar Plástico";2-039;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:23"
107;"Faca Descartável Forte 50 Unidades – Strawplast";4-107;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:28"
316;"Fil Dental 50m – Colgate";11-322;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:58"
250;"Filtro de Papel 102 – Brigitta";9-254;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:46"
249;"Filtro de Papel 103 – Brigitta";9-253;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:46"
248;"Filtro de Papel Original 102 – Melitta";9-252;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:46"
247;"Filtro de Papel Original 103 – Melitta";9-251;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:46"
125;"Fita Demarcação";5-127;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:30"
315;"Forro Protetor assento Sanitário – Masterpell";11-321;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:58"
246;"Fósforo – Fiat Lux";9-250;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:46"
245;"Fósforo – Paraná";9-249;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:46"
244;"Fósforo Longo – Fiat Lux";9-248;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:46"
243;"Fósforo Longo – Paraná";9-247;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:45"
106;"Garfo Descartável Refeição Branca 500 Unidades – Strawplast";4-106;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:28"
105;"Garfo Descartável Sobremesa 50 Unidades – Strawplast";4-105;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:28"
100;"Garra Plástica para Mop Úmido Azul – Bralimpia";3-100;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:28"
99;"Garra Plástica para Mop Úmido Azul – Certec";3-099;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:28"
84;"Gatilho Pulverizador – Nobre";3-084;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:27"
242;"Lâmpada Led 12w – Ourolux";9-246;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:45"
241;"Lâmpada Superled 9w – Ourolux";9-245;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:45"
226;"Leite Integral 1Lt – Godam";8-230;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:44"
225;"Leite Integral 1Lt – Quatá";8-229;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:43"
224;"Leite Integral 1Lt – Tirol";8-228;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:43"
142;"Limpa Vidro 25cm – Odim";6-144;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:31"
141;"Limpa Vidro 35cm – Odim";6-143;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:31"
217;"Limpa Vidro 500ml – Facilita";7-221;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:41"
67;"Limpador de Janela com Spray 26,5cm x 31cm – Nobre";3-067;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:25"
150;"Limpador de Janelas com Reservatório 26cm – Nobre";6-152;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:34"
68;"Limpador de Janelas com Sprey 26,5cm – Nobre";3-068;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:25"
197;"Limpador Perfumado Agradable 500ml – CasaKm";7-201;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:40"
196;"Limpador Perfumado Mistero di Amore 500ml – CasaKm";7-200;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:40"
195;"Limpador Perfumado Sensualidad 500ml – CasaKm";7-199;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:39"
194;"Limpador Perfume Flor Suave 500ml – Veja";7-198;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:39"
193;"Limpador Perfume Lavanda 500ml – Veja";7-196;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:39"
43;"Lixeira com Pedal 100llts – Lar Plástico";2-043;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:23"
40;"Lixeira com Pedal 15llts – Lar Plástico";2-040;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:23"
41;"Lixeira com Pedal 25lts – Lar Plástico";2-041;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:23"
42;"Lixeira com Pedal 50llts – Lar Plástico";2-042;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:23"
44;"Lixeira Papeleira com Suporte 50Lts Amarelo – Lar Plástico";2-044;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:23"
45;"Lixeira Papeleira com Suporte 50Lts Azul – Lar Plástico";2-045;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:23"
46;"Lixeira Papeleira com Suporte 50Lts Verde – Lar Plástico";2-046;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:23"
47;"Lixeira Papeleira com Suporte 50Lts Vermelho – Lar Plástico";2-047;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:24"
240;"Lubrificante 300ml – WD-40";9-244;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:45"
239;"Lubrificante Desingripante 300ml -White Lub";9-243;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:45"
207;"Lustra Moveis 200ml – Audax";7-211;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:41"
206;"Lustra Moveis 500ml – Audax";7-210;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:40"
192;"Lustra Moveis 500ml – Worker";7-195;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:39"
191;"Lustra Moveis Lavanda 200ml – Destac";7-194;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:39"
190;"Lustra Moveis Lavanda 200ml – Peroba";7-193;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:39"
189;"Lustra Moveis Lavanda 200ml – Poliflor";7-192;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:39"
188;"Lustra Moveis Lavanda 500ml – Destac";7-191;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:39"
187;"Lustra Moveis Lavanda 500ml – Poliflor";7-190;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:39"
314;"Luva de Latex com Pó 100 Luvas Tamanho G – Nobre";11-320;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:58"
313;"Luva de Latex com Pó 100 Luvas Tamanho M – Nobre";11-318;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:57"
312;"Luva de Látex Multiuso Tamanhos M Amarela – Nobre";11-317;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:57"
311;"Luva de Látex Multiuso Tamanhos M Verde – Nobre";11-316;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:57"
310;"Luva de Latex Procedimentos com Pó 100 Luvas Tamanho P – Nobre";11-315;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:57"
309;"Luva de Vinil com Pó Tamanho G – Nobre";11-314;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:57"
308;"Luva de Vinil com Pó Tamanho M – Nobre";11-313;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:57"
307;"Luva de Vinil sem Pó Tamanho M – Nobre";11-312;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:53"
306;"Luva de Vinil sem Pó Tamanho P – Nobre";11-311;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:53"
305;"Luva Plástica Descartável 100 Unidades – Nobre";11-310;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:53"
228;"Margarina 250g – Qualy";8-232;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:44"
227;"Margarina 500g – Qualy";8-231;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:44"
